"","score","text"
"1",0,"RT @seematripathi6: <U+0914><U+0930> <U+092B><U+093F><U+0930> <U+091F><U+093E><U+0907><U+092E><U+094D><U+0938> <U+0915><U+0947> <U+0915><U+0935><U+0930> <U+092A><U+0947><U+091C> <U+092A><U+0930> @narendramodi <U+090F><U+0915> <U+0938><U+093E><U+0932> <U+0915><U+0947> <U+0905><U+0928><U+094D><U+0926><U+0930> <U+0926><U+0942><U+0938><U+0930><U+0940> <U+092C><U+093E><U+0930> - <U+0930><U+093F><U+0915><U+093E><U+0930><U+094D><U+0921> <U+0939><U+0948> <U+092F><U+0947> <U+092D><U+0940> !
<U+092F><U+0947> <U+0939><U+0948> <U+091C><U+0932><U+0935><U+093E> ..<U+092A><U+0942><U+0930><U+0940> <U+0926><U+0941><U+0928><U+093F><U+092F><U+093E> <U+092E><U+0947><U+0902> h<U+2026>"
"2",0,"Read TIME's exclusive interview with @narendramodi http://t.co/Mgynv1piI0 via @TIMEWorld"
"3",0,"RT @IndiaToday: PM @narendramodi backed #RBI chief Raghuram Rajan in turf war with finance ministry: Report 
http://t.co/5dypadXgCS http://<U+2026>"
"4",1,"Advocate fr Raghukul ,Horizon &amp; Didwania sought fr time to comply with directns of committee #NSEL @narendramodi @PMOIndia @Dev_Fadnavis"
"5",0,"@narendramodi @AshPlash96 kya bola tha maine ho gaya naa passed"
"6",0,"RT @i_Aakanksha: @narendramodi 

Visit @Offlce0fRG <U+0915><U+094B><U+092E><U+0947><U+0921><U+0940> <U+0928><U+093E><U+0907><U+091F> <U+0926><U+0947><U+0916><U+0928><U+0947> <U+0915><U+0940> <U+091C><U+0930><U+0942><U+0930><U+0924> <U+0928><U+0939><U+093F> <U+092A><U+0921><U+0947><U+0917><U+0940><U+0964>"
"7",0,"@i_Aakanksha @narendramodi @Offlce0fRG hahahahahaha"
"8",0,"RT @tajinderbagga: PM @narendramodi again on the cover page of TIME http://t.co/RRKoTcZEg4"
"9",0,"RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>"
"10",0,"RT @minhazmerchant: Long, clear-headed cover story &amp; interview in @TIME with PM @narendramodi http://t.co/2dhak5N2ff"
"11",-1,"RT @lotusprings: #NadiaRiots Dear PM @narendramodi pls could you spare some time to look into Hindus being Killed in Nadia &amp; elsewhere?@BJP<U+2026>"
"12",1,"RT @drramansingh: We are grateful to PM @narendramodi for helping people of Bastar to overcome limitations of seeking education by his prof<U+2026>"
"13",0,"RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>"
"14",0,"RT @IshanMishr: <U+091A><U+0940><U+0928> <U+0928><U+0947> <U+092E><U+0941><U+0938><U+0932><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0940> <U+0924><U+093E><U+0915><U+0924> <U+0915><U+092E> <U+0915><U+0930><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+091C><U+094B> <U+092A><U+0948><U+0902><U+0924><U+0930><U+0947> <U+0905><U+092A><U+0928><U+093E><U+090F><U+0902> <U+0939><U+0948> <U+0909><U+0938><U+0938><U+0947> <U+0905><U+0917><U+0930> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0941><U+091B> <U+0928> <U+0938><U+0940><U+0916><U+0947> <U+0924><U+094B> <U+0906><U+0928><U+0947> <U+0935><U+093E><U+0932><U+093E> <U+0938><U+092E><U+092F> <U+092C><U+0939><U+0941><U+0924> <U+0939><U+093E><U+0928><U+093F><U+0915><U+093E><U+0930><U+0915> <U+0939><U+0948> @nare<U+2026>"
"15",0,"@narendramodi  https://t.co/l2EU0JnQ1N"
"16",2,"@Parvezalam212 @narendramodi .its in our mind. U can't b happy if u don't want to b happy."
"17",0,"RT @WSJ: How India<U+2019>s @narendramodi became a social-media #superstar http://t.co/XWTuUiZQLo http://t.co/6trZkYw8cf"
"18",-1,"@narendramodi No doubt."
"19",0,"RT @i_Aakanksha: @narendramodi 

Visit @Offlce0fRG <U+0915><U+094B><U+092E><U+0947><U+0921><U+0940> <U+0928><U+093E><U+0907><U+091F> <U+0926><U+0947><U+0916><U+0928><U+0947> <U+0915><U+0940> <U+091C><U+0930><U+0942><U+0930><U+0924> <U+0928><U+0939><U+093F> <U+092A><U+0921><U+0947><U+0917><U+0940><U+0964>"
"20",-1,"@narendramodi @OfficeOfRG Fake vs Real"
"21",0,"RT @minhazmerchant: Long, clear-headed cover story &amp; interview in @TIME with PM @narendramodi http://t.co/2dhak5N2ff"
"22",1,"@narendramodi heartiest congratulations to PM and all citizen of India on this landmark resolution of boundary with Bangla Desh===="
"23",3,"RT @MahaveerM_: @narendramodi Govt improved Provisions  of #LAB for the sole benefit &amp; prosperity of farmers
#ModiMatters http://t.co/VF6OT<U+2026>"
"24",0,"""Finally,  they got their shit together to do something productive. Yyyaaayyyyy https://t.co/iLGeXT7tkf"
"25",0,"RT @IshanMishr: <U+091A><U+0940><U+0928> <U+0928><U+0947> <U+092E><U+0941><U+0938><U+0932><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0940> <U+0924><U+093E><U+0915><U+0924> <U+0915><U+092E> <U+0915><U+0930><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+091C><U+094B> <U+092A><U+0948><U+0902><U+0924><U+0930><U+0947> <U+0905><U+092A><U+0928><U+093E><U+090F><U+0902> <U+0939><U+0948> <U+0909><U+0938><U+0938><U+0947> <U+0905><U+0917><U+0930> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0941><U+091B> <U+0928> <U+0938><U+0940><U+0916><U+0947> <U+0924><U+094B> <U+0906><U+0928><U+0947> <U+0935><U+093E><U+0932><U+093E> <U+0938><U+092E><U+092F> <U+092C><U+0939><U+0941><U+0924> <U+0939><U+093E><U+0928><U+093F><U+0915><U+093E><U+0930><U+0915> <U+0939><U+0948> @nare<U+2026>"
"26",-1,"@narendramodi Do something sir or advice to Mr. Amit Saha. Something is wrong here in Odisha."
"27",0,"@narendramodi Expect something of this kind with our northern &amp; eastern boundaries within your ruling tenure....Jai Hind."
"28",0,"PM @narendramodi thanks Congress chief @SoniaGandhiG on historic India-Bangladesh land boundary agreement."
"29",1,"@narendramodi if u want then all issued will closed.u r the one of the best prism minister in the world."
"30",-1,"@SanjayS00663282 @HinduRajyam @986_kumar @MahaveerM_ @narendramodi Their policy is divide and rule. We are unable understand that fact"
"31",1,"@narendramodi Congratulations !!"
"32",-1,"RT @FocusNewsIndia: #BREAKING | @narendramodi meets #SoniaGandhi personally after passage of  Indo-Bangla Land Boundary Bill in #LS http://<U+2026>"
"33",-1,"RT @IndianExpress: India-China border not volatile, both nations have 'learnt from history': PM @narendramodi http://t.co/kNHdYGxhS7 http:/<U+2026>"
"34",2,"RT @madhav9nath1: @Neelam_Soti @sarkar_swati @narendramodi Well addressed emotions must b responded effectively by the person who is  in co<U+2026>"
"35",-1,"@narendramodi hope also #India will solve
#felani_murder case and all ather case and won't die any #bangladeshi in border."
"36",0,"RT @monurajasthan: @OfficeOfRG <U+092F><U+0947> <U+0938><U+0924><U+094D><U+0924><U+093E> <U+092D><U+0940> <U+0915><U+094D><U+092F><U+093E> <U+091A><U+0940><U+091C> <U+0939><U+0948>? <U+091F><U+0949><U+092F><U+0932><U+0947><U+091F> <U+092E><U+0947><U+0902> <U+092A><U+0948><U+0926><U+0932> <U+0928><U+0939><U+0940><U+0902> <U+091C><U+093E><U+0928><U+0947> <U+0935><U+093E><U+0932><U+0947> <U+0907><U+0938><U+0915><U+0940> <U+0916><U+093E><U+0924><U+093F><U+0930> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+094D><U+092F><U+093E> <U+091C><U+0924><U+0928> <U+0915><U+0930> <U+0930><U+0939><U+0947> <U+0939><U+0948> ! <U+091C><U+092F> <U+0939><U+094B> 
@narendr<U+2026>"
"37",0,"RT @ianuragthakur: PM @narendramodi is worlds 3rd most followed leader ! -""Modi Doubles @Twitter Following To 12.1 Million Users"" @Forbes"
"38",0,"RT @tajinderbagga: PM @narendramodi again on the cover page of TIME http://t.co/RRKoTcZEg4"
"39",0,"RT @dushyanthechamp: @narendramodi got 12.1 M Followers gets 500 RT bt RG @OfficeOfRG got only 30K followers and 900+ RT @DrunkVinodMehta h<U+2026>"
"40",0,"RT @IndianDiplomacy: PM @narendramodi handed over 27,000 homes to Tamils in Jaffna &amp; participated in house warming ceremony #IndiaSriLanka <U+2026>"
"41",0,"RT @TIME: TIME's new cover: Why @narendramodi matters. An exclusive interview http://t.co/0qd6AX2ft7
https://t.co/Ttgu729wUD"
"42",-1,"RT @mohdnavas1979: Beware of fraud builders like @DLF_India 
Check #DLFBuyerExperience for details
@PMOIndia @narendramodi @Bangaloremirror"
"43",0,"@narendramodi sir everyone is fighting for economic growth but who is gona take care of our bharat mata and environment.. pls do something"
"44",0,"@kavereeb @UdayMahurkar exer of choosing natnlst frm Muslims (tho I don't believe in religion 4 ntnlst)must include @mjakbar  @narendramodi"
"45",1,"@narendramodi sir please make constructive relations with our farmers too once u done with foreigners."
"46",-1,"Most useless MP of BJP. Zero questions asked, zero participation in debates, 45% attendance @narendramodi @BJP4India https://t.co/qR7XRYv5Pz"
"47",1,"RT @monicanitin: @narendramodi Happy to hear this.Sir, also,Sports,Civil aviation Food &amp; agriculture not in line with Your Vision. Pls take<U+2026>"
"48",1,"RT @Jal_Kukdi: And @narendramodi will troll @OfficeOfRG by making Amethi a smart city! <ed><U+00A0><U+00BD><ed><U+00B8><U+009B>
http://t.co/WFa2KbHTLD"
"49",0,"@narendramodi Sir did she said anything about that No Ball incident?"
"50",-1,".CONG GAVE TIBET AND INDIAN TERRITORY TO CHINA N KEPT CHANTING NAME OF DAWOOD
NOW USING THESE TO ATTACK BJP
@narendramodi @AmitShahOffice"
"51",0,"@therealkapildev @narendramodi"
"52",0,"RT @i_Aakanksha: @narendramodi 

@Offlce0fRG Follow <U+0924><U+094B> <U+092C><U+0928><U+0924><U+093E> <U+0939><U+0948> <U+0907><U+0938><U+0915><U+094B><U+0964>"
"53",0,"RT @OfficeOffRG: <U+0906> <U+0917><U+092F><U+093E> <U+092E><U+0948><U+0902><U+0964> @narendramodi <U+091C><U+0940> <U+0938><U+094D><U+0935><U+093E><U+0917><U+0924> <U+0928><U+0939><U+0940> <U+0915><U+0930><U+094B><U+0917><U+0947> <U+0939><U+092E><U+093E><U+0930><U+093E><U+0964>"
"54",0,"@IshanMishr @VarshaRitu_ @narendramodi kyoun musalmano ke peeche pade ho Bhai"
"55",-1,"RT @ravie_k_dhiman: @SanjayS00663282 @HinduRajyam @MahaveerM_ @narendramodi Unite to stop TMC from pushing BENGAL to disaster! All Bangla s<U+2026>"
"56",0,"RT @TIME: TIME's new cover: Why @narendramodi matters. An exclusive interview http://t.co/0qd6AX2ft7
https://t.co/Ttgu729wUD"
"57",0,"Just because @narendramodi is returning favors for his 2014 win, he is failing to understand his communication failure on his achievements!"
"58",-1,"@narendramodi @AmitShahOffice do you go and voice your frustration when SHE opposes you for Land bill ?"
"59",0,"Dear @narendramodi Why fear people exercising their right to stand up and be counted, consulted and compensated? https://t.co/r8F5z4uMw8"
"60",3,"RT @MahaveerM_: @narendramodi Govt improved Provisions  of #LAB for the sole benefit &amp; prosperity of farmers
#ModiMatters http://t.co/VF6OT<U+2026>"
"61",0,"RT @tajinderbagga: PM @narendramodi again on the cover page of TIME http://t.co/RRKoTcZEg4"
"62",-1,"RT @SanjayS00663282: @Ashok110111 @HinduRajyam @MahaveerM_ @narendramodi THE TRAGEDY IS THAT #HISTORY IS #REPEATING AND #BENGALIS ARE NOT A<U+2026>"
"63",-1,"RT @lotusprings: #NadiaRiots Dear PM @narendramodi pls could you spare some time to look into Hindus being Killed in Nadia &amp; elsewhere?@BJP<U+2026>"
"64",0,"RT @dushyanthechamp: @narendramodi got 12.1 M Followers gets 500 RT bt RG @OfficeOfRG got only 30K followers and 900+ RT @DrunkVinodMehta h<U+2026>"
"65",0,"RT @MahaveerM_: YesWeWill
#ModiMatters
Man
Of
Developing
India
@narendramodi
https://t.co/Nuk37nWjzs http://t.co/7bG9QLB57R"
"66",1,"@httweets @narendramodi Seriously! They shld take care of their own backyard! Our minorities are just like every other citizen to us!"
"67",1,"@panditskt @narendramodi Very good."
"68",1,"@narendramodi Huge Act..Our best wishes  and prayers for all the strength for replicating the same with all neighbours"
"69",0,"RT @MahaveerM_: YesWeWill
#ModiMatters
Man
Of
Developing
India
@narendramodi
https://t.co/Nuk37nWjzs http://t.co/7bG9QLB57R"
"70",0,"RT @siddarthpaim: @narendramodi it would be more historic if both houses pass a resolution to deport Bangladeshi immigrants @BJPRajnathSing<U+2026>"
"71",0,"RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>"
"72",0,"RT @vikingthakkar: @narendramodi Sir. We Indians &amp; the world expect nothing less than historic milestones from this #BJP Govt under yr lead<U+2026>"
"73",0,"RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>"
"74",0,"@narendramodi Will the new boundary be fenced now?"
"75",0,"RT @MahaveerM_: TIME's new cover
Y @narendramodi matters
exclusive interview
Reformer-In-Chief
http://t.co/TkaPtbjGVO 
https://t.co/Nuk37nW<U+2026>"
"76",0,"@i_Aakanksha @narendramodi @Offlce0fRG <U+091C><U+0941><U+092E><U+0932><U+093E> <U+0928><U+093E><U+0907><U+091F><U+094D><U+0938> <U+0938><U+0947> <U+092E><U+0928> <U+092D><U+0930> <U+0917><U+092F><U+093E> <U+0935><U+094B> <U+0939><U+0940> <U+092A><U+0915><U+093E><U+090A> <U+092D><U+093E><U+0937><U+0923> <U+0938><U+0941><U+0928><U+0939><U+0930><U+0947> <U+092D><U+0935><U+093F><U+0937><U+094D><U+092F> <U+0915><U+093E> <U+0914><U+0930> <U+0935><U+094B> <U+092D><U+0940> <U+092C><U+093E><U+0924><U+0947> <U+0939><U+0940> <U+092C><U+093E><U+0924><U+0947> <U+092F><U+0925><U+093E><U+0930><U+094D><U+0925> <U+092E><U+0947><U+0902> <U+0915><U+0941><U+091B> <U+0928><U+0939><U+0940><U+0902>"
"77",0,"@narendramodi kabhi apne desh ka bhi khayal rakho"
"78",4,"PM #SheikhHasina cannot be thanked enough. Staunch friend of #India &amp; best hope for progressive, liberal #Bangladesh https://t.co/WzJhIah6su"
"79",1,"RT @drramansingh: We are grateful to PM @narendramodi for helping people of Bastar to overcome limitations of seeking education by his prof<U+2026>"
"80",2,"RT @drramansingh: We are ready with @IIITNR at @Naya_Raipur to be inaugurated by PM @narendramodi on May 9 &amp; empower our people to make a b<U+2026>"
"81",0,"RT @news24tvchannel: <U+092E><U+094B><U+0926><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0928><U+0947> <U+0915><U+0949><U+0930><U+092A><U+094B><U+0930><U+0947><U+091F><U+094D><U+0938> <U+0915><U+094B> 1 <U+0938><U+093E><U+0932> <U+092E><U+0947><U+0902> <U+0926><U+0940> 62,000 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0915><U+0940> '<U+0938><U+094C><U+0917><U+093E><U+0924>' #NarendraModi http://t.co/2eeD45DdmW http://t.co/K8vV<U+2026>"
"82",0,"RT @MahaveerM_: TIME's new cover
Y @narendramodi matters
exclusive interview
Reformer-In-Chief
http://t.co/TkaPtbjGVO 
https://t.co/Nuk37nW<U+2026>"
"83",0,"RT @narendramodi: I bow to Gurudev Rabindranath Tagore on his birth anniversary. http://t.co/olcyvH6EOI"
"84",0,"RT @i_Aakanksha: @narendramodi 

Visit @Offlce0fRG <U+0915><U+094B><U+092E><U+0947><U+0921><U+0940> <U+0928><U+093E><U+0907><U+091F> <U+0926><U+0947><U+0916><U+0928><U+0947> <U+0915><U+0940> <U+091C><U+0930><U+0942><U+0930><U+0924> <U+0928><U+0939><U+093F> <U+092A><U+0921><U+0947><U+0917><U+0940><U+0964>"
"85",0,"RT @Ashishjourno: PM @narendramodi thanx Sonia Gandhi personally walking upto her on passage of Land Boundary Act, in Lok Sabha @abpnewstv"
"86",-2,"@narendramodi Sir, I appreciate your work from my heart. Unfortunately we only have a opportunistic and sucker opposition ."
"87",0,"#Gujarat CM Smt. @anandibenpatel will be on visit China with PM @narendramodi next week"
"88",0,"RT @news24tvchannel: <U+092E><U+094B><U+0926><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0928><U+0947> <U+0915><U+0949><U+0930><U+092A><U+094B><U+0930><U+0947><U+091F><U+094D><U+0938> <U+0915><U+094B> 1 <U+0938><U+093E><U+0932> <U+092E><U+0947><U+0902> <U+0926><U+0940> 62,000 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0915><U+0940> '<U+0938><U+094C><U+0917><U+093E><U+0924>' #NarendraModi http://t.co/2eeD45DdmW http://t.co/K8vV<U+2026>"
"89",1,"@narendramodi @AmitShahOffice she did no particular favour to you or our country."
"90",-1,"RT @OfficoffRG: @narendramodi Wait till 2019,"
"91",0,"RT @IshanMishr: <U+091A><U+0940><U+0928> <U+0928><U+0947> <U+092E><U+0941><U+0938><U+0932><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0940> <U+0924><U+093E><U+0915><U+0924> <U+0915><U+092E> <U+0915><U+0930><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+091C><U+094B> <U+092A><U+0948><U+0902><U+0924><U+0930><U+0947> <U+0905><U+092A><U+0928><U+093E><U+090F><U+0902> <U+0939><U+0948> <U+0909><U+0938><U+0938><U+0947> <U+0905><U+0917><U+0930> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0941><U+091B> <U+0928> <U+0938><U+0940><U+0916><U+0947> <U+0924><U+094B> <U+0906><U+0928><U+0947> <U+0935><U+093E><U+0932><U+093E> <U+0938><U+092E><U+092F> <U+092C><U+0939><U+0941><U+0924> <U+0939><U+093E><U+0928><U+093F><U+0915><U+093E><U+0930><U+0915> <U+0939><U+0948> @nare<U+2026>"
"92",0,"RT @minhazmerchant: Long, clear-headed cover story &amp; interview in @TIME with PM @narendramodi http://t.co/2dhak5N2ff"
"93",0,"RT @dushyanthechamp: @narendramodi got 12.1 M Followers gets 500 RT bt RG @OfficeOfRG got only 30K followers and 900+ RT @DrunkVinodMehta h<U+2026>"
"94",0,"RT @surajitdasgupta: We are getting 2,777.038 acre. Giving away 2,267.682 acre. Govts of states PM @narendramodi mentions have consented. h<U+2026>"
"95",1,"RT @OfficoffRG: Congress will win back these states soon. https://t.co/PCsbrKr2Tn"
"96",0,"RT @IshanMishr: <U+091A><U+0940><U+0928> <U+0928><U+0947> <U+092E><U+0941><U+0938><U+0932><U+092E><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0940> <U+0924><U+093E><U+0915><U+0924> <U+0915><U+092E> <U+0915><U+0930><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+091C><U+094B> <U+092A><U+0948><U+0902><U+0924><U+0930><U+0947> <U+0905><U+092A><U+0928><U+093E><U+090F><U+0902> <U+0939><U+0948> <U+0909><U+0938><U+0938><U+0947> <U+0905><U+0917><U+0930> <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0941><U+091B> <U+0928> <U+0938><U+0940><U+0916><U+0947> <U+0924><U+094B> <U+0906><U+0928><U+0947> <U+0935><U+093E><U+0932><U+093E> <U+0938><U+092E><U+092F> <U+092C><U+0939><U+0941><U+0924> <U+0939><U+093E><U+0928><U+093F><U+0915><U+093E><U+0930><U+0915> <U+0939><U+0948> @nare<U+2026>"
"97",0,"RT @vikingthakkar: @narendramodi Sir. We Indians &amp; the world expect nothing less than historic milestones from this #BJP Govt under yr lead<U+2026>"
"98",1,"happy RT @FocusNewsIndia: Indo-Bangla Land Boundary Bill passed in LS: @narendramodi<U+2026> https://t.co/1nrgImRvgD http://t.co/jvMEA0EMGh"
"99",-2,"RT @htTweets: No place for imaginary apprehensions over rights of minorities: PM @narendramodi http://t.co/ilGNftUddW http://t.co/lJjxmhuhLp"
"100",0,"<U+092E><U+094B><U+0926><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0928><U+0947> <U+0915><U+0949><U+0930><U+092A><U+094B><U+0930><U+0947><U+091F><U+094D><U+0938> <U+0915><U+094B> 1 <U+0938><U+093E><U+0932> <U+092E><U+0947><U+0902> <U+0926><U+0940> 62,000 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0915><U+0940> '<U+0938><U+094C><U+0917><U+093E><U+0924>' #NarendraModi #RRvsSRH http://t.co/7RlEFDhars"
"101",-1,"@DrGPradhan of-course not, it need urgent course of correction, or will ready for high inflation&amp; opposition will get point   @narendramodi"
"102",0,"RT @TIME: TIME's new cover: Why @narendramodi matters. An exclusive interview http://t.co/0qd6AX2ft7
https://t.co/Ttgu729wUD"
"103",0,"""@narendramodi: Spoke to Bangladesh PM Sheikh Hasina and conveyed my greetings to the people of Bangladesh on this landmark occasion."""
"104",0,"@PMOIndia @narendramodi sir once u read about #498a it's ill effects u will only #Scrap498a, pls save innocent families"
"105",0,"@narendramodi <U+0938><U+0930> <U+091C><U+0940> <U+0915><U+093E><U+0932><U+093E> <U+0927><U+0928> <U+0935><U+093E><U+092A><U+0938> <U+0932><U+093E><U+0928><U+0947> <U+0915><U+0940> <U+092C><U+093E><U+0924> <U+0938><U+092C> <U+0915><U+0930><U+0924><U+0947> <U+0939><U+0948><U+0902> <U+0932><U+0947><U+0915><U+093F><U+0928> <U+0918><U+094B><U+091F><U+093E><U+0932><U+0947> <U+0915><U+093E> <U+092A><U+0948><U+0938><U+093E> <U+0935><U+093E><U+092A><U+0938> <U+0932><U+0947><U+0928><U+0947> <U+0915><U+0940> <U+092C><U+093E><U+0924> <U+0915><U+094B><U+0908> <U+0928><U+0939><U+0940><U+0902> <U+0915><U+0930><U+0924><U+093E> <U+0939><U+0948> <U+0964>"
"106",1,"@narendramodi I wish this collective will is exhibited in passing important legislatures in both the houses."
"107",2,"@narendramodi @AmitShahOffice kindly explain the urge to go and thank HER personally."
"108",0,"RT @ChaudhryShankar: Yes, #ModiMatters in many ways . @narendramodi on cover page of @TIME once again. Read here http://t.co/UxviyGHREi htt<U+2026>"
"109",0,"@RamraoKP_ @OfficeOfRG @narendramodi Rahul Gandhi pe Daya karo. Ek to Pappu bolte ho. Kadva sach kyun bolta hai. Sikh jayega Tutor hai. Digi"
"110",1,"@narendramodi work is worship. vikas hoga.safalata milegi"
"111",0,"RT @ManojManu_Anu: @sv_om07 @AmitSwami77 @narendramodi @DrManisha7 <U+092D><U+093E><U+0930><U+0924> <U+092E><U+0947><U+0902> <U+0938><U+0928><U+094D><U+0924><U+094B><U+0902> <U+0915><U+094B> <U+092C><U+093F><U+0928><U+093E> <U+0938><U+092C><U+0942><U+0924> <U+0905><U+092A><U+0930><U+093E><U+0927><U+0940> <U+0935> <U+0905><U+092A><U+0930><U+093E><U+0927><U+093F><U+092F><U+094B><U+0902> <U+0915><U+094B> <U+092C><U+0947><U+0932><U+0965> #Bail4SalmanNot4<U+2026>"
"112",0,"We are getting 2,777.038 acre. Giving away 2,267.682 acre. Govts of states PM @narendramodi mentions have consented. https://t.co/gFY058ZFvi"
"113",-1,"why my pm @narendramodi giving interview to american mag times and crying in front of them. shameful"
"114",0,"RT @vikingthakkar: @narendramodi Sir. We Indians &amp; the world expect nothing less than historic milestones from this #BJP Govt under yr lead<U+2026>"
"115",1,"RT @Chandrruiyer: @narendramodi rocks, 2nd time within a year in Time magazine cover page. Wow. https://t.co/x3WlHq431N @DrGPradhan @DrJwal<U+2026>"
"116",0,"RT @Neelam_Soti: .@narendramodi ji you rescued people from Yemen and Nepal. Also do something for Hindu victims of Nadia Riots. http://t.co<U+2026>"
"117",-1,"@Katriina_Kaiif @narendramodi 
So crazy of our PM http://t.co/HpXLhHlngc"
"118",-3,"RT @Neelam_Soti: .@narendramodi ji opposition made fake church attacks a matter of national debate. Why can't BJP trigger a debate on real <U+2026>"
"119",1,"@narendramodi indeed this is a very good step. Hope very soon you will form govt in West Bengal. WB needs industries."
"120",0,"RT @SandipGhose: How Modi wants to change India - @narendramodi's interview with @TIME http://t.co/Fftss21nMx #MustRead"
