"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2015-05-07",0,FALSE,"596307027615354881",TRUE,NA,NA,NA,NA,NA,62,FALSE,"Vpkushwaha","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @seematripathi6: <U+0914><U+0930> <U+092B><U+093F><U+0930> <U+091F><U+093E><U+0907><U+092E><U+094D><U+0938> <U+0915><U+0947> <U+0915><U+0935><U+0930> <U+092A><U+0947><U+091C> <U+092A><U+0930> @narendramodi <U+090F><U+0915> <U+0938><U+093E><U+0932> <U+0915><U+0947> <U+0905><U+0928><U+094D><U+0926><U+0930> <U+0926><U+0942><U+0938><U+0930><U+0940> <U+092C><U+093E><U+0930> - <U+0930><U+093F><U+0915><U+093E><U+0930><U+094D><U+0921> <U+0939><U+0948> <U+092F><U+0947> <U+092D><U+0940> !
<U+092F><U+0947> <U+0939><U+0948> <U+091C><U+0932><U+0935><U+093E> ..<U+092A><U+0942><U+0930><U+0940> <U+0926><U+0941><U+0928><U+093F><U+092F><U+093E> <U+092E><U+0947><U+0902> h<U+2026>",FALSE
"2015-05-07",0,FALSE,"596307023387463680",FALSE,NA,NA,NA,NA,NA,0,FALSE,"VickySadhu","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Read TIME's exclusive interview with @narendramodi http://t.co/Mgynv1piI0 via @TIMEWorld",FALSE
"2015-05-07",0,FALSE,"596307020191440896",TRUE,NA,NA,NA,NA,NA,19,FALSE,"patelpharm","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @IndiaToday: PM @narendramodi backed #RBI chief Raghuram Rajan in turf war with finance ministry: Report 
http://t.co/5dypadXgCS http://<U+2026>",FALSE
"2015-05-07",0,FALSE,"596307015913222144",FALSE,NA,NA,NA,NA,NA,0,FALSE,"priyankajethwa7","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Advocate fr Raghukul ,Horizon &amp; Didwania sought fr time to comply with directns of committee #NSEL @narendramodi @PMOIndia @Dev_Fadnavis",FALSE
"2015-05-07",0,FALSE,"596307011869937664",FALSE,NA,NA,"596302209383469056","narendramodi","18839785",0,FALSE,"gourav17jan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@narendramodi @AshPlash96 kya bola tha maine ho gaya naa passed",FALSE
"2015-05-07",0,FALSE,"596307008044670977",TRUE,NA,NA,NA,NA,NA,12,FALSE,"sachanmayank04","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @i_Aakanksha: @narendramodi 

Visit @Offlce0fRG <U+0915><U+094B><U+092E><U+0947><U+0921><U+0940> <U+0928><U+093E><U+0907><U+091F> <U+0926><U+0947><U+0916><U+0928><U+0947> <U+0915><U+0940> <U+091C><U+0930><U+0942><U+0930><U+0924> <U+0928><U+0939><U+093F> <U+092A><U+0921><U+0947><U+0917><U+0940><U+0964>",FALSE
"2015-05-07",0,FALSE,"596307000935329792",FALSE,NA,NA,"596303194210177024","i_Aakanksha","2228551975",0,FALSE,"rakeshsingh1967","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@i_Aakanksha @narendramodi @Offlce0fRG hahahahahaha",FALSE
"2015-05-07",0,FALSE,"596306997470887937",TRUE,NA,NA,NA,NA,NA,123,FALSE,"vaibhav_milan","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @tajinderbagga: PM @narendramodi again on the cover page of TIME http://t.co/RRKoTcZEg4",FALSE
"2015-05-07",0,FALSE,"596306993184317441",TRUE,NA,NA,NA,NA,NA,27,FALSE,"NawalKamboj","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>",FALSE
"2015-05-07",0,FALSE,"596306988004442114",TRUE,NA,NA,NA,NA,NA,74,FALSE,"virvikram","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @minhazmerchant: Long, clear-headed cover story &amp; interview in @TIME with PM @narendramodi http://t.co/2dhak5N2ff",FALSE
"2015-05-07",0,FALSE,"596306987983343616",TRUE,NA,NA,NA,NA,NA,2,FALSE,"Ravi_neboriya","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lotusprings: #NadiaRiots Dear PM @narendramodi pls could you spare some time to look into Hindus being Killed in Nadia &amp; elsewhere?@BJP<U+2026>",FALSE
"2015-05-07",0,FALSE,"596306983453478912",TRUE,NA,NA,NA,NA,NA,13,FALSE,"mohanrajtn","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @drramansingh: We are grateful to PM @narendramodi for helping people of Bastar to overcome limitations of seeking education by his prof<U+2026>",FALSE
"2015-05-07",0,FALSE,"596306982761418752",TRUE,NA,NA,NA,NA,NA,27,FALSE,"143premr","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","RT @MahaveerM_: Yes #ModiMatters!!
Express-Vision
@narendramodi on cover page of @TIME once again.
http://t.co/4n4p4UBnSG http://t.co/SpOvh<U+2026>",FALSE
